Wall time,Step,Value
1598339761.863435,162,-15.322675704956055
1598339778.177141,163,-15.482462882995605
1598339794.496891,164,-14.899534225463867
1598339810.792177,165,-15.95286750793457
1598339827.169352,166,-15.572587966918945
1598339843.481456,167,-15.078258514404297
1598339859.785482,168,-14.996926307678223
1598339876.108974,169,-15.237075805664062
1598339892.389465,170,-15.568705558776855
1598339910.217907,171,-15.273574829101562
1598339926.571316,172,-15.300467491149902
1598339942.82761,173,-15.182713508605957
1598339959.147109,174,-15.29534912109375
1598339975.465848,175,-15.289836883544922
1598339991.694079,176,-15.052285194396973
1598340007.999647,177,-15.415897369384766
1598340024.281327,178,-15.253984451293945
1598340040.592039,179,-15.385825157165527
1598340056.855695,180,-15.323867797851562
1598340074.841764,181,-15.575505256652832
1598340091.144179,182,-15.311857223510742
1598340107.427327,183,-15.395156860351562
1598340123.750485,184,-15.780088424682617
1598340140.080718,185,-15.400115966796875
1598340156.47421,186,-15.30433177947998
1598340172.811636,187,-15.630345344543457
1598340189.20169,188,-15.585262298583984
1598340205.525965,189,-15.303458213806152
1598340221.868919,190,-15.78720474243164
1598340239.795942,191,-15.678363800048828
1598340256.22306,192,-15.59772777557373
1598340272.681061,193,-15.63228988647461
1598340289.092707,194,-15.740598678588867
1598340305.57757,195,-15.731759071350098
1598340322.042852,196,-14.96418571472168
1598340338.47939,197,-15.73665714263916
1598340354.991224,198,-15.970179557800293
1598340371.452302,199,-15.060322761535645
1598340387.942355,200,-14.747748374938965
1598340405.733711,201,-14.079023361206055
1598340422.174613,202,-15.168880462646484
1598340438.732214,203,-14.793679237365723
1598340455.205346,204,-14.828092575073242
1598340471.782291,205,-15.084940910339355
1598340488.343129,206,-14.586772918701172
1598340504.967833,207,-14.324329376220703
1598340521.516837,208,-14.32390308380127
1598340538.11092,209,-15.430607795715332
1598340554.663205,210,-15.066752433776855
1598340572.558731,211,-15.267939567565918
1598340589.105116,212,-14.91824722290039
1598340605.773078,213,-14.800559043884277
1598340622.431976,214,-14.496049880981445
1598340639.029692,215,-14.435444831848145
1598340655.656418,216,-14.620756149291992
1598340672.244633,217,-14.009480476379395
1598340688.880836,218,-13.81236457824707
1598340705.616984,219,-14.44818115234375
1598340722.33691,220,-13.757918357849121
1598340740.313288,221,-14.070104598999023
1598340756.98444,222,-14.151260375976562
1598340773.71636,223,-14.313644409179688
1598340790.367238,224,-14.46380615234375
1598340807.001532,225,-14.881491661071777
1598340823.749863,226,-14.36027717590332
1598340840.452302,227,-15.38163948059082
1598340857.099806,228,-15.016810417175293
1598340873.818342,229,-14.894217491149902
1598340890.506708,230,-14.856436729431152
1598340908.466857,231,-14.530439376831055
1598340925.118485,232,-13.91732120513916
1598340941.877191,233,-14.111336708068848
1598340958.545033,234,-14.376432418823242
1598340975.298375,235,-13.9091157913208
1598340991.999244,236,-13.893106460571289
1598341008.714643,237,-14.546083450317383
1598341025.46799,238,-14.27138900756836
1598341042.313144,239,-14.151510238647461
1598341059.049886,240,-14.42870044708252
1598341077.129439,241,-14.079492568969727
1598341093.833419,242,-14.081405639648438
1598341110.594734,243,-14.000446319580078
1598341127.376182,244,-14.004844665527344
1598341144.156127,245,-14.552252769470215
1598341160.899407,246,-14.082039833068848
1598341177.583495,247,-13.822213172912598
1598341194.348972,248,-14.089469909667969
1598341211.183611,249,-13.58173656463623
1598341227.967384,250,-14.051682472229004
1598341246.131466,251,-13.931533813476562
1598341262.817051,252,-13.62570571899414
1598341279.597444,253,-13.95987319946289
1598341296.388083,254,-14.060892105102539
1598341313.179477,255,-13.614500045776367
1598341329.96461,256,-13.919495582580566
1598341346.828446,257,-14.034895896911621
1598341363.61989,258,-13.834104537963867
1598341380.434785,259,-13.577616691589355
1598341397.280274,260,-13.570807456970215
1598341415.748778,261,-13.566208839416504
1598341432.538292,262,-13.842671394348145
1598341449.263959,263,-13.899396896362305
1598341466.047282,264,-13.611334800720215
1598341482.8499,265,-13.75328254699707
1598341499.643102,266,-13.59623908996582
1598341516.498823,267,-14.026739120483398
1598341533.285599,268,-13.610812187194824
1598341550.073891,269,-13.379798889160156
1598341566.928986,270,-13.167107582092285
1598341585.038112,271,-13.16324234008789
1598341601.895531,272,-13.054123878479004
1598341618.67257,273,-12.927993774414062
1598341635.482433,274,-12.892578125
1598341652.335767,275,-12.762829780578613
1598341669.144045,276,-12.717585563659668
1598341686.002131,277,-12.631794929504395
1598341702.840184,278,-12.682901382446289
1598341719.701493,279,-12.531451225280762
1598341736.557155,280,-12.546514511108398
1598341754.64818,281,-12.469260215759277
1598341771.506133,282,-12.521495819091797
1598341788.332637,283,-12.278458595275879
1598341805.195361,284,-12.251991271972656
1598341822.050375,285,-12.218352317810059
1598341838.902961,286,-12.157820701599121
1598341855.724597,287,-11.969094276428223
1598341872.640935,288,-11.853997230529785
1598341889.569436,289,-11.839738845825195
1598341906.476866,290,-11.883723258972168
1598341924.734332,291,-11.787992477416992
1598341941.604104,292,-12.023548126220703
1598341958.444357,293,-11.889054298400879
1598341975.355453,294,-11.808477401733398
1598341992.261083,295,-11.637113571166992
1598342009.170911,296,-11.64283561706543
1598342026.037954,297,-11.746851921081543
1598342042.982282,298,-11.52338695526123
1598342059.881188,299,-11.336235046386719
1598342076.837336,300,-11.618579864501953
1598342095.02546,301,-11.407451629638672
1598342111.910937,302,-11.741209030151367
1598342128.828471,303,-11.670449256896973
1598342145.711557,304,-11.508559226989746
1598342162.619357,305,-11.588271141052246
1598342179.534951,306,-11.317119598388672
1598342196.449344,307,-11.266045570373535
1598342213.369321,308,-11.220097541809082
1598342230.331754,309,-11.15390396118164
1598342247.290548,310,-11.031379699707031
1598342265.426041,311,-10.517250061035156
1598342282.294727,312,-10.870549201965332
1598342299.218065,313,-10.939257621765137
1598342316.097153,314,-11.13905143737793
1598342333.056869,315,-10.94073486328125
1598342349.998699,316,-10.705242156982422
1598342367.00547,317,-10.61023235321045
1598342383.965232,318,-10.887078285217285
1598342400.943327,319,-10.848371505737305
1598342417.887123,320,-10.547250747680664
1598342436.033195,321,-10.61899471282959
1598342452.908748,322,-10.365238189697266
1598342469.857995,323,-10.35573959350586
1598342486.81383,324,-10.416778564453125
1598342503.76278,325,-10.314258575439453
1598342520.769335,326,-10.392012596130371
1598342537.777681,327,-10.406163215637207
1598342554.761285,328,-10.296004295349121
1598342571.764214,329,-10.407957077026367
1598342588.673175,330,-10.211875915527344
1598342606.954485,331,-10.445490837097168
1598342623.896631,332,-10.617084503173828
1598342640.874391,333,-10.487447738647461
1598342657.898393,334,-10.368531227111816
1598342674.959118,335,-10.344135284423828
1598342691.963581,336,-10.217558860778809
1598342708.984433,337,-8.506328582763672
1598342725.938532,338,-9.650650978088379
1598342742.978303,339,-9.769190788269043
1598342759.93917,340,-9.719871520996094
1598342778.491338,341,-10.02241039276123
1598342795.510715,342,-9.193094253540039
1598342812.459864,343,-9.453409194946289
1598342829.492489,344,-9.744821548461914
1598342846.510721,345,-9.914363861083984
1598342863.554033,346,-9.640419006347656
1598342880.57907,347,-9.583745002746582
1598342897.59607,348,-9.583754539489746
1598342914.644714,349,-9.741168975830078
1598342931.671205,350,-9.699752807617188
1598342949.949588,351,-9.374127388000488
1598342966.953091,352,-9.643342018127441
1598342984.003398,353,-9.518694877624512
1598343001.042573,354,-9.640877723693848
1598343018.04574,355,-9.479048728942871
1598343035.071948,356,-9.530401229858398
1598343052.124246,357,-9.511402130126953
1598343069.175617,358,-9.049022674560547
1598343086.266035,359,-8.744796752929688
1598343103.346959,360,-9.29946517944336
1598343121.851839,361,-9.180868148803711
1598343138.844643,362,-9.137322425842285
1598343155.908093,363,-9.511747360229492
1598343172.97053,364,-9.326578140258789
1598343190.020718,365,-9.456294059753418
1598343207.086138,366,-9.116434097290039
1598343224.206315,367,-9.31660270690918
1598343241.284925,368,-9.45771598815918
1598343258.356005,369,-9.329947471618652
1598343275.444593,370,-9.283990859985352
1598343293.947303,371,-9.322603225708008
1598343310.992524,372,-9.572772026062012
1598343328.079737,373,-9.467602729797363
1598343345.199312,374,-9.193252563476562
1598343362.286241,375,-9.450531959533691
1598343379.375461,376,-9.284754753112793
1598343396.526085,377,-9.431214332580566
1598343413.59123,378,-9.023921966552734
1598343430.725321,379,-9.15786361694336
1598343447.80302,380,-9.420406341552734
1598343466.193335,381,-9.430387496948242
1598343483.220543,382,-9.248231887817383
1598343500.357946,383,-9.451425552368164
1598343517.42893,384,-9.734330177307129
1598343534.509819,385,-9.418367385864258
1598343551.588847,386,-8.96289348602295
1598343568.680324,387,-9.230616569519043
1598343585.799677,388,-9.37173080444336
1598343602.98589,389,-9.408313751220703
1598343620.096382,390,-9.503252983093262
1598343638.386737,391,-9.337337493896484
1598343655.476425,392,-9.513908386230469
1598343672.603228,393,-9.555790901184082
1598343689.720748,394,-9.691839218139648
1598343706.842981,395,-9.655990600585938
1598343723.945894,396,-9.728726387023926
1598343741.097012,397,-9.710798263549805
1598343758.241189,398,-9.500555992126465
1598343775.340495,399,-9.359331130981445
